Name,Age,Team_from,League_from,Team_to,League_to,Season,marketvalue,fee
Julian Draxler,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,22000000,43000000
Arturo Vidal,28,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2015-2016,42000000,37500000
Douglas Costa,24,Shakhtar D.,Premier Liga,Bayern Munich ,1.Bundesliga,2015-2016,23000000,30000000
Charles Aránguiz,26,Internacional,Série A,Bay. Leverkusen,1.Bundesliga,2015-2016,9500000,13000000
Max Kruse,27,Bor. M'gladbach,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,12000000,12000000
Chicharito,27,Man Utd,Premier League,Bay. Leverkusen,1.Bundesliga,2015-2016,10000000,12000000
Gonzalo Castro,28,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2015-2016,14000000,11000000
Kevin Kampl,24,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,9000000,11000000
Johannes Geis,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,11000000,10500000
Josip Drmic,22,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,8000000,10000000
Matija Nastasic,22,Man City,Premier League,FC Schalke 04,1.Bundesliga,2015-2016,14000000,9500000
Joshua Kimmich,20,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2015-2016,5000000,8500000
Thorgan Hazard,22,Chelsea,Premier League,Bor. M'gladbach,1.Bundesliga,2015-2016,10000000,8000000
Admir Mehmedi,24,SC Freiburg,2.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,8000000
Jonas Hofmann,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,4000000,8000000
Jonathan Tah,19,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000,7500000
Kyriakos Papadopoulos,23,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,7500000,6500000
Lewis Holtby,24,Spurs,Premier League,Hamburger SV,1.Bundesliga,2015-2016,4000000,6500000
Franco Di Santo,26,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000,6000000
Eduardo Vargas,25,SSC Napoli,Serie A,TSG Hoffenheim,1.Bundesliga,2015-2016,6000000,6000000
Jackson Martínez,28,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2015-2016,35000000,37100000
Arda Turan,28,Atlético Madrid,LaLiga,FC Barcelona,LaLiga,2015-2016,35000000,34000000
Danilo,23,FC Porto,Liga NOS,Real Madrid,LaLiga,2015-2016,25000000,31500000
Mateo Kovacic,21,Inter,Serie A,Real Madrid,LaLiga,2015-2016,22000000,31000000
Rodrigo,24,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,18000000,30000000
Álvaro Negredo,29,Man City,Premier League,Valencia CF,LaLiga,2015-2016,18000000,28000000
Stefan Savic,24,Fiorentina,Serie A,Atlético Madrid,LaLiga,2015-2016,15000000,25000000
Yannick Carrasco,21,Monaco,Ligue 1,Atlético Madrid,LaLiga,2015-2016,9000000,24760000
Aymen Abdennour,26,Monaco,Ligue 1,Valencia CF,LaLiga,2015-2016,10000000,22000000
Luciano Vietto,21,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2015-2016,20000000,20000000
André Gomes,21,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,20000000,20000000
Aleix Vidal,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2015-2016,10000000,17000000
Filipe Luís,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2015-2016,15000000,16000000
Roberto Soldado,30,Spurs,Premier League,Villarreal CF,LaLiga,2015-2016,10000000,16000000
Asier Illarramendi,25,Real Madrid,LaLiga,Real Sociedad,LaLiga,2015-2016,15000000,15000000
João Cancelo,21,Benfica,Liga NOS,Valencia CF,LaLiga,2015-2016,5000000,15000000
Ciro Immobile,25,Bor. Dortmund,1.Bundesliga,Sevilla FC,LaLiga,2015-2016,10000000,11000000
Santi Mina,19,Celta de Vigo,LaLiga,Valencia CF,LaLiga,2015-2016,4000000,10000000
Aderllan Santos,26,Braga,Liga NOS,Valencia CF,LaLiga,2015-2016,7500000,9500000
Raúl García,29,Atlético Madrid,LaLiga,Athletic Bilbao,LaLiga,2015-2016,15000000,8000000
Samu García,24,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000,8000000
Samu Castillejo,20,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000,8000000
Steven Nzonzi,26,Stoke City,Premier League,Sevilla FC,LaLiga,2015-2016,7500000,8000000
Matías Kranevitter,22,River Plate,Primera División,Atlético Madrid,LaLiga,2015-2016,7000000,8000000
Cédric Bakambu,24,Bursaspor,Süper Lig,Villarreal CF,LaLiga,2015-2016,5500000,7500000
Jonathas,26,Elche CF,LaLiga2,Real Sociedad,LaLiga,2015-2016,6000000,7200000
Mathew Ryan,23,Club Brugge,Jupiler Pro League,Valencia CF,LaLiga,2015-2016,7000000,7000000
Sidnei,25,Benfica,Liga NOS,Dep. La Coruña,LaLiga,2015-2016,3000000,6500000
Kiko Casilla,28,Espanyol,LaLiga,Real Madrid,LaLiga,2015-2016,7500000,6000000
Bernard Mensah,20,Vit. Guimarães,Liga NOS,Atlético Madrid,LaLiga,2015-2016,4000000,6000000
Iago Aspas,27,Liverpool,Premier League,Sevilla FC,LaLiga,2015-2016,4000000,6000000
Gaël Kakuta,24,Chelsea,Premier League,Sevilla FC,LaLiga,2015-2016,3500000,6000000
Ángel Di María,27,Man Utd,Premier League,Paris SG,Ligue 1,2015-2016,50000000,63000000
Layvin Kurzawa,22,Monaco,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000,25000000
Ivan Cavaleiro,21,Benfica,Liga NOS,Monaco,Ligue 1,2015-2016,3500000,15000000
